subj,PMC,total time,mean x,std x,var x,median x,kurtosis x,skewness x,max x,min x,mean y,std y,var y,median y,kurtosis y,skewness y,max y,min y,mean z,std z,var z,median z,kurtosis z,skewness z,max z,min z,mean Rx,std Rx,var Rx,median Rx,kurtosis Rx,skewness Rx,max Rx,min Rx,mean Ry,std Ry,var Ry,median Ry,kurtosis Ry,skewness Ry,max Ry,min Ry,mean Rz,std Rz,var Rz,median Rz,kurtosis Rz,skewness Rz,max Rz,min Rz,mean tt,std tt,var tt,median tt,kurtosis tt,skewness tt,max tt,min tt,mean tr,std tr,var tr,median tr,kurtosis tr,skewness tr,max tr,min tr
dl43_PD,1,311.2125,0.004169936,0.091175385,0.008312951,0.0228,0.857552174,-1.154867871,0.1666,-0.3334,0.135049328,0.084397457,0.007122931,0.1452,-0.134574675,-0.625024186,0.3694,-0.1491,-0.222719299,0.110553963,0.012222179,-0.24818,0.184289933,0.760260165,0.219741,-0.53772,-0.055936641,0.03078077,0.000947456,-0.062272609,0.267372962,0.838984972,0.066350172,-0.134694667,0.016457968,0.034771511,0.001209058,0.026814099,0.947718802,-1.218195223,0.076525814,-0.129548158,-0.01134759,0.021679843,0.000470016,-0.007000456,-0.077797968,-0.591460537,0.050181155,-0.104825719,0.013810543,0.018453988,0.00034055,0.008387798,27.2137416,3.973121361,0.265780634,0,5.55684e-05,8.21483e-05,6.74835e-09,3.47771e-05,85.64348467,6.582484268,0.001933593,0
dn20_PD,1,311.2125,0.186825141,0.127254367,0.016193674,0.1777,0.956610741,-0.159308728,0.6319,-0.4561,-0.018536863,0.06198577,0.003842236,-0.0219,-0.407871485,0.113633776,0.1804,-0.2897,-0.39470884,0.174108577,0.030313796,-0.3968,1.00749393,0.722248446,0.2232,-0.8047,-0.053414125,0.040597865,0.001648187,-0.050733813,-0.474617594,0.03959313,0.153679213,-0.158341364,0.462034719,0.152029175,0.02311287,0.505182594,3.116100248,-1.916395524,0.624283323,-0.041399005,0.301597881,0.113489066,0.012879768,0.328067143,1.182861637,-1.17668603,0.487890684,-0.047345468,0.073617456,0.065360502,0.004271995,0.058996893,2.393521724,1.435922272,0.452436202,0,0.14315527,0.096124292,0.00923988,0.125535707,-1.114719076,0.231742483,0.36112817,0
dp20_PD,1,311.225,-0.522808138,0.46292852,0.214302814,-0.5196,0.025002054,0.411236912,1.2194,-1.5192,-0.042639229,0.155046971,0.024039563,-0.044765,-0.283585235,0.035453291,0.43507,-0.47492,-0.348243519,0.229741918,0.052781349,-0.3448,-0.659301457,-0.151100211,0.2223,-0.9342,-0.014985264,0.064336214,0.004139148,-0.012481535,-0.272868323,-0.101805038,0.163166669,-0.216695072,-0.042877237,0.06493844,0.004217001,-0.043720813,1.168355602,0.41752308,0.240161989,-0.230301779,0.120321879,0.08615351,0.007422427,0.117410797,-0.672377025,-0.178086487,0.323093143,-0.155797666,0.832381272,1.196716342,1.432130003,0.224157758,3.458801195,1.8996332,7.47189122,0,0.001806992,0.002578132,6.64676e-06,0.000528835,4.660861399,2.032614311,0.018561147,0
iy25_PD,1,311.2125,0.123235587,0.090058346,0.008110506,0.12802,0.358948444,-0.202365109,0.50429,-0.178646,0.28663653,0.172213242,0.029657401,0.29825,0.593737941,0.057962261,1.4374,-0.1918,-0.481396349,0.24820835,0.061607385,-0.515055,-0.706679454,0.360731566,0.2257,-1.01701,-0.1564452,0.07502554,0.005628832,-0.166350509,-0.809295069,0.022608646,0.007714185,-0.537898163,0.06740482,0.045889219,0.00210582,0.077990953,-0.738957631,-0.453200049,0.162854988,-0.048807083,-0.036116362,0.022264978,0.000495729,-0.035473237,0.345389623,-0.172280562,0.046718476,-0.136767988,0.287091163,0.390615762,0.152580673,0.165887263,120.9486158,6.92840613,8.95465543,0,0.00224701,0.00317266,1.00658e-05,0.001430778,222.5769734,10.23923584,0.086070847,0
kc73_PD,1,311.2125,0.691083112,0.238601486,0.056930669,0.746945,2.21453688,-0.763275192,1.84926,-0.37744,-1.096038207,0.340644355,0.116038577,-1.06998,1.938457066,0.326946169,0.10472,-2.47648,0.868676161,0.601669005,0.362005591,0.72085,-0.147580508,0.713891634,2.87794,-0.3726,0.442734571,0.145428248,0.021149375,0.423516375,1.50815996,-0.083554989,1.033709222,-0.034097228,0.161554927,0.067845932,0.00460307,0.161844365,0.391270935,-0.353232411,0.425209603,-0.034582447,-0.107066594,0.074663911,0.0055747,-0.113967248,0.246420813,0.581138579,0.287391411,-0.253849819,13.21365561,20.40211088,416.2461285,5.046095317,15.49491828,3.328932599,192.8900716,0,0.090107047,0.105414001,0.011112112,0.05489724,22.67881052,3.65732059,1.259489991,0
me21_PD,1,311.1875,-0.653500442,0.4705243,0.221393117,-0.78403,-1.336895945,0.030185696,0.04503,-1.42513,-0.52162699,0.310370153,0.096329632,-0.695485,-1.143641388,0.734576574,0.126698,-0.9233,0.326676309,0.228569748,0.052244129,0.4201,-1.155695022,-0.504060453,0.74362,-0.21477,0.250604447,0.157572173,0.02482899,0.344052215,-1.260466703,-0.694272926,0.448418769,-0.061259891,-0.236619757,0.153370099,0.023522387,-0.317638301,-1.442492077,0.514306954,0.043304416,-0.421251757,0.079407108,0.107683942,0.011595831,0.028694162,-0.178694896,1.245616175,0.325691132,-0.03439699,2.229710225,2.215879768,4.910123147,1.998162894,-0.842984258,0.645750133,8.243577509,0,0.0527439,0.043663431,0.001906495,0.070991418,-1.687538668,-0.159799785,0.144438597,0
mf79_PD,1,311.225,0.149905343,0.080079817,0.006412777,0.1494,1.492680842,-0.732803665,0.3405,-0.2333,-0.507387535,0.323730643,0.104801529,-0.4212,-1.362569898,-0.308197037,0.0536,-1.1675,0.49780042,0.301977163,0.091190207,0.4396,-1.233844511,0.241953924,1.265,-0.0743,0.182158844,0.118302158,0.0139954,0.148923249,-1.36492226,0.330029003,0.426059663,-0.029037249,0.032125579,0.021601069,0.000466606,0.033500045,1.012750981,-0.393268109,0.098843927,-0.085183447,-0.018479237,0.022190856,0.000492434,-0.01510338,-0.645204141,-0.29018939,0.042969277,-0.097738379,1.044424931,1.449962439,2.102391073,0.161049801,0.399035791,1.228942144,8.801565511,0,0.005009035,0.006963603,4.84918e-05,0.000573116,-0.32466605,1.072969183,0.03327967,0
nv85_PD,1,311.2125,-0.25527831,0.400036008,0.160028808,-0.19815,0.997007044,-0.980460819,0.5428,-1.5475,0.56394927,0.311572943,0.097077699,0.552205,0.034509956,-0.143667497,1.34761,-0.73878,-1.040308991,0.422496172,0.178503015,-1.05513,0.438040833,0.453775826,0.73371,-1.93573,-0.22120413,0.113398083,0.012859125,-0.21855951,0.979684823,0.535520232,0.411170542,-0.473467449,-0.017221215,0.052598503,0.002766603,-0.018227728,0.402524886,-0.135097142,0.125757272,-0.183863676,0.014889993,0.092201781,0.008501168,0.004786659,0.67091231,0.83959343,0.339520269,-0.193144304,5.631683823,7.970735556,63.5326253,2.63130669,4.51700167,2.234151437,41.25448793,0,0.008176041,0.010662823,0.000113696,0.003615879,2.426945907,1.790578215,0.054818991,0
pa30_PD,1,311.2125,0.097751138,0.060174067,0.003620918,0.0914,1.217920486,0.864953336,0.3422,-0.0782,0.119740647,0.08375282,0.007014535,0.1202,-0.685678246,-0.08862461,0.3468,-0.1203,-0.044296964,0.102883041,0.01058492,-0.0385,-0.570112854,-0.168113395,0.2341,-0.362,-0.051182407,0.038069777,0.001449308,-0.053836511,-0.74141992,0.120301716,0.051495032,-0.157163952,0.065458978,0.031725214,0.001006489,0.071392539,-0.092948107,-0.029054197,0.174008769,-0.021443214,0.020833193,0.020015798,0.000400632,0.025766452,-0.206298047,-0.737214117,0.070809295,-0.050125137,0.004450982,0.008475592,7.18357e-05,0.000723004,11.75096997,3.121364561,0.076534791,0,0.00016869,0.00023122,5.34628e-08,8.65266e-05,8.399418578,2.487273015,0.002190701,0
qg37_PD,1,311.2125,-0.172749266,0.134927415,0.018205407,-0.12831,-0.021006987,-1.025307899,0.03481,-0.55208,0.300719583,0.194645701,0.037886949,0.3378,0.527590112,-0.907567375,0.6788,-0.3225,-0.371047667,0.145400371,0.021141268,-0.3824,-0.400377289,0.398717403,0.0297,-0.7044,-0.133911757,0.063090192,0.003980372,-0.145383379,-0.641152729,0.45726857,0.046054861,-0.278475655,-0.017906465,0.028095196,0.00078934,-0.010736171,1.922814963,-1.551756403,0.034781306,-0.11990091,0.036177825,0.023577737,0.00055591,0.035533903,-1.000404057,-0.091385637,0.091689557,-0.020662706,0.153835524,0.152581584,0.02328114,0.106631569,1.047793134,1.203332271,0.862483991,0,0.000886999,0.000915816,8.38719e-07,0.000643987,1.609302332,1.283276883,0.00641587,0
sc17_PD,1,311.2125,0.086702472,0.484185395,0.234435497,-0.02385,-0.795855135,0.43170758,1.3717,-0.7566,-0.548205452,0.932650213,0.86983642,-0.33125,-1.201982812,-0.432837482,0.64488,-2.4248,0.394718147,1.241461606,1.541226919,0.14545,-1.17918644,0.451114971,3.0104,-1.3331,0.200357263,0.378697629,0.143411894,0.141057624,-1.347504778,0.286692635,0.91069729,-0.336081779,-0.020238686,0.048455909,0.002347975,-0.028160137,0.494817049,0.683466251,0.147869682,-0.146231134,-0.07077207,0.23725642,0.056290609,-0.013283369,-1.21517827,-0.294600819,0.312335397,-0.57308314,24.48094515,47.58834264,2264.650355,1.781681162,5.422737917,2.382828444,277.3280824,0,0.144417048,0.258478432,0.0668111,0.011912812,4.082106376,2.135982641,1.262019326,0
um68_PD,1,311.2125,0.01178715,0.01441443,0.000207776,0.0109,1.511320252,0.196131486,0.1077,-0.0514,0.133550238,0.075850102,0.005753238,0.126145,-0.824346938,0.146676167,0.34579,-0.06488,-0.302781356,0.147788254,0.021841368,-0.3171,-1.184952848,0.091904019,0.022,-0.6349,-0.077427509,0.039303719,0.001544782,-0.08105745,-0.946684516,0.107622215,0.029887528,-0.189023369,0.00078142,0.005836435,3.4064e-05,0.000911754,2.794972145,-0.474761379,0.019990263,-0.051162786,0.003922185,0.007057582,4.98095e-05,0.004303616,1.613983431,-0.391739677,0.035770012,-0.043991478,0.031134717,0.039388949,0.001551489,0.013766809,2.482502806,1.603486972,0.255157491,0,9.63577e-05,0.000125741,1.58108e-08,4.42164e-05,4.152422063,1.872247245,0.001324189,0
